run_number,job_name,tool,phase,build_s,job_total_s,build_share,run_id
15,marp_build,cache-nix-action,generate-cache,23.000,50.000,0.460,18753771242
15,marp_build,cachix,generate-cache,29.000,47.000,0.617,18753771242
15,marp_build,magic-nix-cache,generate-cache,30.000,394.000,0.076,18753771242
15,marp_build,none,generate-cache,22.000,37.000,0.595,18753771242
16,marp_build,cache-nix-action,use-cache,9.000,34.000,0.265,18754054171
16,marp_build,cachix,use-cache,24.000,38.000,0.632,18754054171
16,marp_build,magic-nix-cache,use-cache,24.000,46.000,0.522,18754054171
16,marp_build,none,use-cache,24.000,38.000,0.632,18754054171
21,marp_build,cache-nix-action,generate-cache,22.000,43.000,0.512,18777714953
21,marp_build,cachix,generate-cache,26.000,41.000,0.634,18777714953
21,marp_build,magic-nix-cache,generate-cache,29.000,305.000,0.095,18777714953
21,marp_build,none,generate-cache,24.000,34.000,0.706,18777714953
22,marp_build,cache-nix-action,use-cache,10.000,28.000,0.357,18777913273
22,marp_build,cachix,use-cache,27.000,47.000,0.574,18777913273
22,marp_build,magic-nix-cache,use-cache,29.000,50.000,0.580,18777913273
22,marp_build,none,use-cache,24.000,39.000,0.615,18777913273
23,marp_build,cache-nix-action,generate-cache,22.000,43.000,0.512,18778308420
23,marp_build,cachix,generate-cache,25.000,40.000,0.625,18778308420
23,marp_build,magic-nix-cache,generate-cache,31.000,509.000,0.061,18778308420
23,marp_build,none,generate-cache,24.000,34.000,0.706,18778308420
24,marp_build,cache-nix-action,use-cache,9.000,30.000,0.300,18778547830
24,marp_build,cachix,use-cache,24.000,38.000,0.632,18778547830
24,marp_build,magic-nix-cache,use-cache,30.000,52.000,0.577,18778547830
24,marp_build,none,use-cache,23.000,34.000,0.676,18778547830
25,marp_build,cache-nix-action,generate-cache,23.000,46.000,0.500,18778853653
25,marp_build,cachix,generate-cache,25.000,42.000,0.595,18778853653
25,marp_build,magic-nix-cache,generate-cache,30.000,506.000,0.059,18778853653
25,marp_build,none,generate-cache,25.000,38.000,0.658,18778853653
26,marp_build,cache-nix-action,use-cache,9.000,38.000,0.237,18779225121
26,marp_build,cachix,use-cache,26.000,44.000,0.591,18779225121
26,marp_build,magic-nix-cache,use-cache,55.000,82.000,0.671,18779225121
26,marp_build,none,use-cache,24.000,33.000,0.727,18779225121
27,marp_build,cache-nix-action,generate-cache,23.000,46.000,0.500,18779716921
27,marp_build,cachix,generate-cache,26.000,43.000,0.605,18779716921
27,marp_build,magic-nix-cache,generate-cache,30.000,506.000,0.059,18779716921
27,marp_build,none,generate-cache,24.000,36.000,0.667,18779716921
28,marp_build,cache-nix-action,use-cache,9.000,35.000,0.257,18779934804
28,marp_build,cachix,use-cache,26.000,45.000,0.578,18779934804
28,marp_build,magic-nix-cache,use-cache,40.000,68.000,0.588,18779934804
28,marp_build,none,use-cache,25.000,35.000,0.714,18779934804
15,zenn_build,cache-nix-action,generate-cache,102.000,124.000,0.823,18753771242
15,zenn_build,cachix,generate-cache,75.000,105.000,0.714,18753771242
15,zenn_build,magic-nix-cache,generate-cache,70.000,507.000,0.138,18753771242
15,zenn_build,none,generate-cache,58.000,74.000,0.784,18753771242
16,zenn_build,cache-nix-action,use-cache,9.000,36.000,0.250,18754054171
16,zenn_build,cachix,use-cache,29.000,48.000,0.604,18754054171
16,zenn_build,magic-nix-cache,use-cache,54.000,88.000,0.614,18754054171
16,zenn_build,none,use-cache,54.000,69.000,0.783,18754054171
21,zenn_build,cache-nix-action,generate-cache,75.000,97.000,0.773,18777714953
21,zenn_build,cachix,generate-cache,70.000,91.000,0.769,18777714953
21,zenn_build,magic-nix-cache,generate-cache,65.000,471.000,0.138,18777714953
21,zenn_build,none,generate-cache,57.000,72.000,0.792,18777714953
22,zenn_build,cache-nix-action,use-cache,9.000,27.000,0.333,18777913273
22,zenn_build,cachix,use-cache,21.000,40.000,0.525,18777913273
22,zenn_build,magic-nix-cache,use-cache,24.000,46.000,0.522,18777913273
22,zenn_build,none,use-cache,55.000,68.000,0.809,18777913273
23,zenn_build,cache-nix-action,generate-cache,90.000,115.000,0.783,18778308420
23,zenn_build,cachix,generate-cache,68.000,94.000,0.723,18778308420
23,zenn_build,magic-nix-cache,generate-cache,66.000,275.000,0.240,18778308420
23,zenn_build,none,generate-cache,56.000,71.000,0.789,18778308420
24,zenn_build,cache-nix-action,use-cache,9.000,29.000,0.310,18778547830
24,zenn_build,cachix,use-cache,20.000,40.000,0.500,18778547830
24,zenn_build,magic-nix-cache,use-cache,53.000,88.000,0.602,18778547830
24,zenn_build,none,use-cache,53.000,68.000,0.779,18778547830
25,zenn_build,cache-nix-action,generate-cache,72.000,94.000,0.766,18778853653
25,zenn_build,cachix,generate-cache,16.000,38.000,0.421,18778853653
25,zenn_build,magic-nix-cache,generate-cache,65.000,256.000,0.254,18778853653
25,zenn_build,none,generate-cache,52.000,63.000,0.825,18778853653
26,zenn_build,cache-nix-action,use-cache,9.000,35.000,0.257,18779225121
26,zenn_build,cachix,use-cache,50.000,71.000,0.704,18779225121
26,zenn_build,magic-nix-cache,use-cache,53.000,89.000,0.596,18779225121
26,zenn_build,none,use-cache,52.000,66.000,0.788,18779225121
27,zenn_build,cache-nix-action,generate-cache,76.000,97.000,0.784,18779716921
27,zenn_build,cachix,generate-cache,67.000,106.000,0.632,18779716921
27,zenn_build,magic-nix-cache,generate-cache,71.000,255.000,0.278,18779716921
27,zenn_build,none,generate-cache,56.000,73.000,0.767,18779716921
28,zenn_build,cache-nix-action,use-cache,9.000,27.000,0.333,18779934804
28,zenn_build,cachix,use-cache,15.000,34.000,0.441,18779934804
28,zenn_build,magic-nix-cache,use-cache,23.000,44.000,0.523,18779934804
28,zenn_build,none,use-cache,44.000,60.000,0.733,18779934804
