run_number,job_name,tool,phase,cycle_index,duration_s,run_id
15,marp_build,cache-nix-action,generate-cache,1,23.000,18753771242
21,marp_build,cache-nix-action,generate-cache,2,22.000,18777714953
23,marp_build,cache-nix-action,generate-cache,3,22.000,18778308420
27,marp_build,cache-nix-action,generate-cache,4,23.000,18779716921
16,marp_build,cache-nix-action,use-cache,1,9.000,18754054171
22,marp_build,cache-nix-action,use-cache,2,10.000,18777913273
24,marp_build,cache-nix-action,use-cache,3,9.000,18778547830
28,marp_build,cache-nix-action,use-cache,4,9.000,18779934804
15,marp_build,cachix,generate-cache,1,29.000,18753771242
21,marp_build,cachix,generate-cache,2,26.000,18777714953
23,marp_build,cachix,generate-cache,3,25.000,18778308420
27,marp_build,cachix,generate-cache,4,26.000,18779716921
16,marp_build,cachix,use-cache,1,24.000,18754054171
22,marp_build,cachix,use-cache,2,27.000,18777913273
24,marp_build,cachix,use-cache,3,24.000,18778547830
28,marp_build,cachix,use-cache,4,26.000,18779934804
15,marp_build,magic-nix-cache,generate-cache,1,30.000,18753771242
21,marp_build,magic-nix-cache,generate-cache,2,29.000,18777714953
23,marp_build,magic-nix-cache,generate-cache,3,31.000,18778308420
27,marp_build,magic-nix-cache,generate-cache,4,30.000,18779716921
16,marp_build,magic-nix-cache,use-cache,1,24.000,18754054171
22,marp_build,magic-nix-cache,use-cache,2,29.000,18777913273
24,marp_build,magic-nix-cache,use-cache,3,30.000,18778547830
28,marp_build,magic-nix-cache,use-cache,4,40.000,18779934804
15,marp_build,none,generate-cache,1,22.000,18753771242
21,marp_build,none,generate-cache,2,24.000,18777714953
23,marp_build,none,generate-cache,3,24.000,18778308420
27,marp_build,none,generate-cache,4,24.000,18779716921
16,marp_build,none,use-cache,1,24.000,18754054171
22,marp_build,none,use-cache,2,24.000,18777913273
24,marp_build,none,use-cache,3,23.000,18778547830
28,marp_build,none,use-cache,4,25.000,18779934804
15,zenn_build,cache-nix-action,generate-cache,1,102.000,18753771242
21,zenn_build,cache-nix-action,generate-cache,2,75.000,18777714953
23,zenn_build,cache-nix-action,generate-cache,3,90.000,18778308420
27,zenn_build,cache-nix-action,generate-cache,4,76.000,18779716921
16,zenn_build,cache-nix-action,use-cache,1,9.000,18754054171
22,zenn_build,cache-nix-action,use-cache,2,9.000,18777913273
24,zenn_build,cache-nix-action,use-cache,3,9.000,18778547830
28,zenn_build,cache-nix-action,use-cache,4,9.000,18779934804
15,zenn_build,cachix,generate-cache,1,75.000,18753771242
21,zenn_build,cachix,generate-cache,2,70.000,18777714953
23,zenn_build,cachix,generate-cache,3,68.000,18778308420
27,zenn_build,cachix,generate-cache,4,67.000,18779716921
16,zenn_build,cachix,use-cache,1,29.000,18754054171
22,zenn_build,cachix,use-cache,2,21.000,18777913273
24,zenn_build,cachix,use-cache,3,20.000,18778547830
28,zenn_build,cachix,use-cache,4,15.000,18779934804
15,zenn_build,magic-nix-cache,generate-cache,1,70.000,18753771242
21,zenn_build,magic-nix-cache,generate-cache,2,65.000,18777714953
23,zenn_build,magic-nix-cache,generate-cache,3,66.000,18778308420
27,zenn_build,magic-nix-cache,generate-cache,4,71.000,18779716921
16,zenn_build,magic-nix-cache,use-cache,1,54.000,18754054171
22,zenn_build,magic-nix-cache,use-cache,2,24.000,18777913273
24,zenn_build,magic-nix-cache,use-cache,3,53.000,18778547830
28,zenn_build,magic-nix-cache,use-cache,4,23.000,18779934804
15,zenn_build,none,generate-cache,1,58.000,18753771242
21,zenn_build,none,generate-cache,2,57.000,18777714953
23,zenn_build,none,generate-cache,3,56.000,18778308420
27,zenn_build,none,generate-cache,4,56.000,18779716921
16,zenn_build,none,use-cache,1,54.000,18754054171
22,zenn_build,none,use-cache,2,55.000,18777913273
24,zenn_build,none,use-cache,3,53.000,18778547830
28,zenn_build,none,use-cache,4,44.000,18779934804
