job_name,tool,phase,run_number,duration_s,speedup_vs_baseline
marp_build,cache-nix-action,generate-cache,15,23.000,1.035
marp_build,cachix,generate-cache,15,29.000,0.821
marp_build,magic-nix-cache,generate-cache,15,30.000,0.793
marp_build,none,generate-cache,15,22.000,1.082
marp_build,cache-nix-action,use-cache,16,9.000,2.644
marp_build,cachix,use-cache,16,24.000,0.992
marp_build,magic-nix-cache,use-cache,16,24.000,0.992
marp_build,none,use-cache,16,24.000,0.992
marp_build,cache-nix-action,generate-cache,21,22.000,1.082
marp_build,cachix,generate-cache,21,26.000,0.915
marp_build,magic-nix-cache,generate-cache,21,29.000,0.821
marp_build,none,generate-cache,21,24.000,0.992
marp_build,cache-nix-action,use-cache,22,10.000,2.380
marp_build,cachix,use-cache,22,27.000,0.881
marp_build,magic-nix-cache,use-cache,22,29.000,0.821
marp_build,none,use-cache,22,24.000,0.992
marp_build,cache-nix-action,generate-cache,23,22.000,1.082
marp_build,cachix,generate-cache,23,25.000,0.952
marp_build,magic-nix-cache,generate-cache,23,31.000,0.768
marp_build,none,generate-cache,23,24.000,0.992
marp_build,cache-nix-action,use-cache,24,9.000,2.644
marp_build,cachix,use-cache,24,24.000,0.992
marp_build,magic-nix-cache,use-cache,24,30.000,0.793
marp_build,none,use-cache,24,23.000,1.035
marp_build,cache-nix-action,generate-cache,25,23.000,1.035
marp_build,cachix,generate-cache,25,25.000,0.952
marp_build,magic-nix-cache,generate-cache,25,30.000,0.793
marp_build,none,generate-cache,25,25.000,0.952
marp_build,cache-nix-action,use-cache,26,9.000,2.644
marp_build,cachix,use-cache,26,26.000,0.915
marp_build,magic-nix-cache,use-cache,26,55.000,0.433
marp_build,none,use-cache,26,24.000,0.992
marp_build,cache-nix-action,generate-cache,27,23.000,1.035
marp_build,cachix,generate-cache,27,26.000,0.915
marp_build,magic-nix-cache,generate-cache,27,30.000,0.793
marp_build,none,generate-cache,27,24.000,0.992
marp_build,cache-nix-action,use-cache,28,9.000,2.644
marp_build,cachix,use-cache,28,26.000,0.915
marp_build,magic-nix-cache,use-cache,28,40.000,0.595
marp_build,none,use-cache,28,25.000,0.952
zenn_build,cache-nix-action,generate-cache,15,102.000,0.547
zenn_build,cachix,generate-cache,15,75.000,0.744
zenn_build,magic-nix-cache,generate-cache,15,70.000,0.797
zenn_build,none,generate-cache,15,58.000,0.962
zenn_build,cache-nix-action,use-cache,16,9.000,6.200
zenn_build,cachix,use-cache,16,29.000,1.924
zenn_build,magic-nix-cache,use-cache,16,54.000,1.033
zenn_build,none,use-cache,16,54.000,1.033
zenn_build,cache-nix-action,generate-cache,21,75.000,0.744
zenn_build,cachix,generate-cache,21,70.000,0.797
zenn_build,magic-nix-cache,generate-cache,21,65.000,0.858
zenn_build,none,generate-cache,21,57.000,0.979
zenn_build,cache-nix-action,use-cache,22,9.000,6.200
zenn_build,cachix,use-cache,22,21.000,2.657
zenn_build,magic-nix-cache,use-cache,22,24.000,2.325
zenn_build,none,use-cache,22,55.000,1.015
zenn_build,cache-nix-action,generate-cache,23,90.000,0.620
zenn_build,cachix,generate-cache,23,68.000,0.821
zenn_build,magic-nix-cache,generate-cache,23,66.000,0.845
zenn_build,none,generate-cache,23,56.000,0.996
zenn_build,cache-nix-action,use-cache,24,9.000,6.200
zenn_build,cachix,use-cache,24,20.000,2.790
zenn_build,magic-nix-cache,use-cache,24,53.000,1.053
zenn_build,none,use-cache,24,53.000,1.053
zenn_build,cache-nix-action,generate-cache,25,72.000,0.775
zenn_build,cachix,generate-cache,25,16.000,3.487
zenn_build,magic-nix-cache,generate-cache,25,65.000,0.858
zenn_build,none,generate-cache,25,52.000,1.073
zenn_build,cache-nix-action,use-cache,26,9.000,6.200
zenn_build,cachix,use-cache,26,50.000,1.116
zenn_build,magic-nix-cache,use-cache,26,53.000,1.053
zenn_build,none,use-cache,26,52.000,1.073
zenn_build,cache-nix-action,generate-cache,27,76.000,0.734
zenn_build,cachix,generate-cache,27,67.000,0.833
zenn_build,magic-nix-cache,generate-cache,27,71.000,0.786
zenn_build,none,generate-cache,27,56.000,0.996
zenn_build,cache-nix-action,use-cache,28,9.000,6.200
zenn_build,cachix,use-cache,28,15.000,3.720
zenn_build,magic-nix-cache,use-cache,28,23.000,2.426
zenn_build,none,use-cache,28,44.000,1.268
