job_name,tool,phase,run_number,duration_s,speedup_vs_baseline
marp_build,none,baseline,2,24.000,1.000
marp_build,cachix,first,3,28.000,0.857
marp_build,cachix,second,4,26.000,0.923
marp_build,cache-nix-action,first,7,22.000,1.091
marp_build,cache-nix-action,second,8,10.000,2.400
marp_build,magic-nix-cache,first,9,31.000,0.774
marp_build,magic-nix-cache,second,10,46.000,0.522
zenn_build,none,baseline,2,53.000,1.000
zenn_build,cachix,first,3,74.000,0.716
zenn_build,cachix,second,4,30.000,1.767
zenn_build,cache-nix-action,first,7,99.000,0.535
zenn_build,cache-nix-action,second,8,8.000,6.625
zenn_build,magic-nix-cache,first,9,68.000,0.779
zenn_build,magic-nix-cache,second,10,53.000,1.000
